"","cp_flag","strike_price","best_bid","best_offer","volume","open_interest","impl_volatility","delta","mid","days"
"206","C",26,4.65,4.75,240,0,0.284182,0.87004,4.7,109
"163","C",27,3.65,3.7,95,795,0.265735,0.857928,3.675,74
"207","C",27,3.8,3.85,5,34,0.267181,0.819797,3.825,109
"164","C",28,2.84,2.86,636,1638,0.255422,0.783982,2.85,74
"208","C",28,3,3.05,7,576,0.255301,0.749741,3.025,109
"165","C",29,2.08,2.09,174,1937,0.241061,0.690327,2.085,74
"209","C",29,2.29,2.33,43,215,0.245876,0.661994,2.31,109
"166","C",30,1.43,1.44,331,6251,0.229922,0.572428,1.435,74
"210","C",30,1.68,1.71,104,480,0.237498,0.561041,1.695,109
"167","C",31,0.91,0.93,533,27330,0.22117,0.440348,0.92,74
"211","C",31,1.18,1.2,555,1772,0.230126,0.453704,1.19,109
"168","C",32,0.55,0.56,1691,8350,0.215766,0.312637,0.555,74
"212","C",32,0.79,0.81,585,1445,0.224758,0.347873,0.8,109
"169","C",33,0.31,0.32,1985,9271,0.213134,0.205066,0.315,74
"213","C",33,0.51,0.53,39,1721,0.221398,0.254237,0.52,109
"170","C",34,0.17,0.18,21,3483,0.21345,0.127545,0.175,74
"214","C",34,0.32,0.34,56,2309,0.21978,0.178723,0.33,109
"215","C",35,0.2,0.22,8,35,0.220847,0.123058,0.21,109
"225","P",24,0.21,0.23,128,25,0.327118,-0.082783,0.22,109
"226","P",25,0.29,0.31,426,255,0.309241,-0.112365,0.3,109
"185","P",26,0.24,0.26,363,1447,0.297689,-0.11868,0.25,74
"227","P",26,0.41,0.42,53,147,0.293422,-0.152679,0.415,109
"186","P",27,0.36,0.37,80,1078,0.277964,-0.170236,0.365,74
"228","P",27,0.57,0.58,62,270,0.278858,-0.205607,0.575,109
"187","P",28,0.53,0.54,1608,3662,0.259265,-0.241867,0.535,74
"229","P",28,0.79,0.8,1989,939,0.265598,-0.272914,0.795,109
"188","P",29,0.79,0.8,1391,2114,0.244014,-0.338496,0.795,74
"230","P",29,1.09,1.11,234,3437,0.255034,-0.355412,1.1,109
"189","P",30,1.17,1.18,1157,7125,0.232234,-0.457126,1.175,74
"231","P",30,1.48,1.51,271,790,0.24522,-0.449564,1.495,109
"190","P",31,1.68,1.69,316,1952,0.22173,-0.587074,1.685,74
"232","P",31,1.99,2.01,605,658,0.237654,-0.550108,2,109
"191","P",32,2.33,2.36,123,999,0.215588,-0.710104,2.345,74
"233","P",32,2.61,2.63,492,284,0.232692,-0.648238,2.62,109
"192","P",33,3.1,3.2,25,1384,0.218344,-0.803127,3.15,74
"234","P",33,3.3,3.4,96,61,0.231158,-0.734436,3.35,109
"193","P",34,3.95,4.05,100,236,0.210957,-0.88258,4,74
"235","P",34,4.1,4.2,140,21,0.228625,-0.808186,4.15,109
"236","P",35,5,5.1,451,0,0.236982,-0.854542,5.05,109
